parent_cl_book,level_1_book,level_2_book,level_3_book,ms,row_id
['0930IbnIyas.NuzhatUmam'],['0845Maqrizi.MusawwadatMawaciz'],No Cluster,No Cluster,1,0
['0845Maqrizi.MusawwadatMawaciz'],['0845Maqrizi.MusawwadatMawaciz'],No Cluster,No Cluster,7,11
['0845Maqrizi.MusawwadatMawaciz'],['0845Maqrizi.MusawwadatMawaciz'],No Cluster,No Cluster,7,12
['0845Maqrizi.MusawwadatMawaciz'],['0845Maqrizi.MusawwadatMawaciz'],No Cluster,No Cluster,7,13
['0845Maqrizi.MusawwadatMawaciz'],['0845Maqrizi.MusawwadatMawaciz'],No Cluster,No Cluster,7,14
['0375IkhwanSafa.Rasail'],No Cluster,No Cluster,No Cluster,10,16
['0375IkhwanSafa.Rasail'],No Cluster,No Cluster,No Cluster,11,17
['0276IbnQutaybaDinawari.AdabKatib'],['0276IbnQutaybaDinawari.AdabKatib'],No Cluster,No Cluster,12,18
['0845Maqrizi.KhabarCanBashar'],['0375IkhwanSafa.Rasail'],No Cluster,No Cluster,15,20
['0845Maqrizi.KhabarCanBashar'],['0749IbnFadlAllahCumari.MasalikAbsar'],No Cluster,No Cluster,15,21
['0845Maqrizi.KhabarCanBashar'],['0682ZakariyaQazwini.CajaibMakhluqat'],['0626YaqutHamawi.MucjamBuldan'],No Cluster,15,22
['0845Maqrizi.KhabarCanBashar'],['0375IkhwanSafa.Rasail'],No Cluster,No Cluster,16,23
['0845Maqrizi.KhabarCanBashar'],['0845Maqrizi.KhabarCanBashar'],No Cluster,No Cluster,19,29
['0845Maqrizi.KhabarCanBashar'],['0375AnonymousTranslator.TarikhCalamUrusiyus'],No Cluster,No Cluster,20,30
['0845Maqrizi.KhabarCanBashar'],['0375AnonymousTranslator.TarikhCalamUrusiyus'],No Cluster,No Cluster,20,31
['0845Maqrizi.KhabarCanBashar'],['0845Maqrizi.KhabarCanBashar'],No Cluster,No Cluster,20,32
['0845Maqrizi.KhabarCanBashar'],['0375IkhwanSafa.Rasail'],No Cluster,No Cluster,20,33
['0930IbnIyas.NuzhatUmam'],['0375IkhwanSafa.Rasail'],No Cluster,No Cluster,21,34
['0375IkhwanSafa.Rasail'],['0292Yacqubi.Tarikh'],No Cluster,No Cluster,21,35
['0845Maqrizi.KhabarCanBashar'],['0300IbnRusta.AclaqNafisa'],No Cluster,No Cluster,23,37
['0845Maqrizi.KhabarCanBashar'],['0300IbnRusta.AclaqNafisa'],No Cluster,No Cluster,23,38
['0845Maqrizi.KhabarCanBashar'],['0218HajjajIbnYusufIbnMatar.Majisti'],No Cluster,No Cluster,24,39
['0845Maqrizi.KhabarCanBashar'],['0300IbnRusta.AclaqNafisa'],No Cluster,No Cluster,25,40
['0930IbnIyas.NuzhatUmam'],['0845Maqrizi.KhabarCanBashar'],['0733Nuwayri.NihayatArab'],No Cluster,34,44
['0930IbnIyas.NuzhatUmam'],['0733Nuwayri.NihayatArab'],No Cluster,No Cluster,34,45
